CNTSCHID,Loneliness,ClassroomSafety,TeacherSupport,Gender,Homework_Math,Homework_Reading,Homework_Science,SchoolType,ParentsEducation,Immigration,HomeLanguage,Sibling,Aircon,Helper,Vehicle,Books,Exercise,OwnRoom,FamilyCommitment,Preference_Math,Preference_Reading,Preference_Science,Math,Reading,Science
70200048,Agree,Agree,Most lesson,Female,0.5hr - 1hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,Native,Others,1,No,No,0,26 - 100,0,No,5,Strongly Disagree,Disagree,Agree,533.6085,601.1187,563.7106
70200044,Agree,Strongly Agree,Every lesson,Male,0.5hr - 1hr,1hr - 2hr,1hr - 2hr,Public,Post-Secondary,Native,English,1,Yes,No,1,201-500,1,Yes,5,Strongly Agree,Agree,Disagree,677.716,593.4855,632.9226
70200023,Disagree,Agree,Most lesson,Female,0.5hr - 1hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,English,2,Yes,No,1,11 - 25,2,No,1,Disagree,Agree,Disagree,562.506,578.1639,547.2724
70200013,Strongly Disagree,Strongly Agree,Every lesson,Female,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,English,1,Yes,No,1,26 - 100,1,Yes,3,Strongly Disagree,Agree,Agree,589.8312999999999,623.4452,607.4112
70200132,Disagree,Agree,Most lesson,Female,0.5hr - 1hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,Native,Others,1,Yes,No,1,26 - 100,3,Yes,5,Disagree,Agree,Agree,675.063,644.7067,654.3607
70200119,Disagree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,2nd Generation,Others,1,Yes,No,1,201-500,0,Yes,1,Agree,Agree,Agree,745.359,661.6732999999999,707.5209
70200064,Disagree,Agree,Every lesson,Female,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,No,≥3,26 - 100,2,No,5,Agree,Agree,Agree,666.884,654.5272,697.3893
70200018,Agree,Strongly Agree,Some lessons,Male,1hr - 2hr,≤ 0.5hr,2hr - 3hr,Public,Post-Secondary,Native,English,1,Yes,No,0,26 - 100,10,Yes,10,Agree,Disagree,Agree,660.6074,649.1975,646.9985
70200127,Strongly Disagree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,Native,Others,1,Yes,No,0,26 - 100,5,Yes,7,Strongly Agree,Strongly Agree,Agree,528.6958,402.17380000000003,510.0701
70200099,Disagree,Agree,Most lesson,Female,2hr - 3hr,0.5hr - 1hr,1hr - 2hr,Public,Secondary,Native,English,0,Yes,No,1,1 - 10,4,Yes,0,Disagree,Agree,Disagree,396.4053,471.4773,448.4038
70200080,Disagree,Agree,Most lesson,Female,≤ 0.5hr,0.5hr - 1hr,≤ 0.5hr,Public,Tertiary,2nd Generation,English,1,Yes,No,0,201-500,2,Yes,10,Agree,Agree,Disagree,570.6359,476.1079,575.9209
70200080,Strongly Disagree,Strongly Agree,Every lesson,Male,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Secondary,Native,Others,0,Yes,No,1,1 - 10,2,Yes,0,Strongly Agree,Strongly Disagree,Strongly Agree,564.2437,472.4794,489.785
70200122,Disagree,Strongly Agree,Most lesson,Male,1hr - 2hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,Others,1,Yes,No,1,101 - 200,3,Yes,0,Strongly Agree,Disagree,Strongly Agree,710.3804,636.7437,720.3781
70200113,Strongly Disagree,Strongly Agree,Every lesson,Female,1hr - 2hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,Others,2,Yes,No,1,26 - 100,1,No,5,Strongly Disagree,Strongly Disagree,Strongly Disagree,663.9158,615.8287,631.4713
70200012,Disagree,Agree,Every lesson,Female,2hr - 3hr,≤ 0.5hr,2hr - 3hr,Public,Tertiary,Native,English,0,Yes,Yes,2,101 - 200,0,Yes,0,Agree,Agree,Strongly Agree,660.811,697.0634,662.7198000000001
70200100,Disagree,Strongly Agree,Every lesson,Female,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,3rd Generation,English,1,Yes,No,1,26 - 100,7,Yes,4,Agree,Agree,Agree,507.2522,529.6331,497.603
